version:1,460-00-1527820-1,3,545395.00,547000.00,3391091.00,3392696.00,5.00,1339560619605448120
546162.5,3392683.5,30.0,5,135.96
546162.5,3392683.5,33.0,6,132.80
546162.5,3392683.5,36.0,7,124.20
546292.5,3392683.5,20.0,2,139.60
546292.5,3392683.5,23.0,3,136.34
546292.5,3392683.5,26.0,4,125.75
546292.5,3392683.5,29.0,5,125.97
546297.5,3392683.5,20.0,2,139.72
546297.5,3392683.5,23.0,3,136.45
546297.5,3392683.5,26.0,4,125.91
546297.5,3392683.5,29.0,5,126.13
546052.5,3392678.5,22.0,2,165.18
546052.5,3392678.5,25.0,3,163.78
546052.5,3392678.5,28.0,4,162.18
546052.5,3392678.5,31.0,5,160.10
546052.5,3392678.5,34.0,6,148.33
546052.5,3392678.5,37.0,7,139.75
546052.5,3392678.5,40.0,8,135.18
546052.5,3392678.5,43.0,9,135.45
546057.5,3392678.5,22.0,2,164.79
546057.5,3392678.5,25.0,3,163.39
546057.5,3392678.5,28.0,4,161.78
546057.5,3392678.5,31.0,5,159.70
546057.5,3392678.5,34.0,6,147.91
546057.5,3392678.5,37.0,7,139.29
546057.5,3392678.5,40.0,8,134.73
546057.5,3392678.5,43.0,9,135.00
546152.5,3392678.5,21.0,2,137.78
546152.5,3392678.5,24.0,3,136.74
546152.5,3392678.5,27.0,4,135.40
546152.5,3392678.5,30.0,5,133.52
546152.5,3392678.5,33.0,6,130.37
546152.5,3392678.5,36.0,7,121.60
546157.5,3392678.5,21.0,2,137.66
546157.5,3392678.5,24.0,3,136.61
546157.5,3392678.5,27.0,4,135.28
546157.5,3392678.5,30.0,5,133.40
546157.5,3392678.5,33.0,6,130.25
546157.5,3392678.5,36.0,7,121.46
546162.5,3392678.5,21.0,2,137.91
546162.5,3392678.5,24.0,3,136.87
546162.5,3392678.5,27.0,4,135.53
546162.5,3392678.5,30.0,5,133.65
546162.5,3392678.5,33.0,6,130.49
546162.5,3392678.5,36.0,7,121.64
546212.5,3392678.5,21.0,2,155.33
546212.5,3392678.5,24.0,3,152.89
546212.5,3392678.5,27.0,4,138.32
546212.5,3392678.5,30.0,5,132.02
546217.5,3392678.5,21.0,2,145.82
546217.5,3392678.5,24.0,3,143.39
546217.5,3392678.5,27.0,4,132.16
546217.5,3392678.5,30.0,5,125.01
546222.5,3392678.5,21.0,2,145.88
546222.5,3392678.5,24.0,3,143.45
546222.5,3392678.5,27.0,4,132.23
546222.5,3392678.5,30.0,5,125.09
546227.5,3392678.5,21.0,2,145.96
546227.5,3392678.5,24.0,3,143.53
546227.5,3392678.5,27.0,4,132.32
546227.5,3392678.5,30.0,5,125.18
546232.5,3392678.5,21.0,2,145.40
546232.5,3392678.5,24.0,3,142.97
546232.5,3392678.5,27.0,4,131.67
546232.5,3392678.5,30.0,5,124.52
546237.5,3392678.5,21.0,2,145.50
546237.5,3392678.5,24.0,3,143.07
546237.5,3392678.5,27.0,4,131.79
546237.5,3392678.5,30.0,5,124.65
546247.5,3392678.5,21.0,2,142.83
546247.5,3392678.5,24.0,3,140.41
546247.5,3392678.5,27.0,4,129.38
546247.5,3392678.5,30.0,5,124.12
546252.5,3392678.5,21.0,2,142.98
546252.5,3392678.5,24.0,3,140.55
546252.5,3392678.5,27.0,4,129.54
546252.5,3392678.5,30.0,5,124.29
546257.5,3392678.5,21.0,2,143.14
546257.5,3392678.5,24.0,3,140.71
546257.5,3392678.5,27.0,4,129.74
546257.5,3392678.5,30.0,5,124.48
546262.5,3392678.5,20.0,2,143.84
546262.5,3392678.5,23.0,3,140.69
546262.5,3392678.5,26.0,4,129.89
546262.5,3392678.5,29.0,5,123.80
546267.5,3392678.5,20.0,2,144.03
546267.5,3392678.5,23.0,3,140.86
546267.5,3392678.5,26.0,4,130.11
546267.5,3392678.5,29.0,5,124.02
546272.5,3392678.5,20.0,2,137.32
546272.5,3392678.5,23.0,3,134.16
546272.5,3392678.5,26.0,4,123.08
546272.5,3392678.5,29.0,5,123.29
546277.5,3392678.5,20.0,2,137.51
546277.5,3392678.5,23.0,3,134.35
546277.5,3392678.5,26.0,4,123.32
546277.5,3392678.5,29.0,5,123.55
546282.5,3392678.5,20.0,2,137.74
546282.5,3392678.5,23.0,3,134.57
546282.5,3392678.5,26.0,4,123.60
546282.5,3392678.5,29.0,5,123.82
546287.5,3392678.5,20.0,2,137.24
546287.5,3392678.5,23.0,3,134.08
546287.5,3392678.5,26.0,4,122.91
546287.5,3392678.5,29.0,5,123.12
546292.5,3392678.5,20.0,2,137.48
546292.5,3392678.5,23.0,3,134.31
546292.5,3392678.5,26.0,4,123.21
546292.5,3392678.5,29.0,5,123.42
